Rank,Ticker,Chart,hh,hl,trend_structure,trend_score,current_price,high_6m,low_6m,pct_from_6m_high,RVOL,Velocity %,momentum_score,sector,industry,market_cap,rev_growth_pct,earnings_growth_pct,profit_margin_pct,trailing_pe,forward_pe,analyst_rec,short_ratio,fund_score,rvol_score,composite
404,ESS,https://www.tradingview.com/symbols/ESS/,True,True,STRONG UPTREND,8,288.1,303.35,233.85,-5.0,0.71,44.4,1.0,Real Estate,REIT - Residential,19859564544,3.1,-71.8,20.9,44.9,46.6,2.54,4.1,5,1.8,4.4
405,BMA,https://www.tradingview.com/symbols/BMA/,True,True,STRONG UPTREND,8,83.65,103.0,63.07,-18.8,1.05,50.9,1.0,Financial Services,Banks - Regional,5348499968,-99.6,,7.6,21.6,8.3,1.44,2.0,4,2.6,4.4
406,ABCB,https://www.tradingview.com/symbols/ABCB/,True,True,STRONG UPTREND,8,87.73,93.22,72.85,-5.9,0.64,31.9,1.0,Financial Services,Banks - Regional,5887261184,3.6,-51.9,31.8,15.9,12.5,2.29,4.4,5,1.6,4.4
407,VVX,https://www.tradingview.com/symbols/VVX/,True,False,UPTREND,6,84.41,93.98,61.42,-10.2,1.48,47.1,1.0,Industrials,Aerospace & Defense,2645861888,16.5,15.7,1.9,29.1,12.2,2.42,2.0,6,3.7,4.3
408,TRN,https://www.tradingview.com/symbols/TRN/,True,True,STRONG UPTREND,8,29.9,38.31,28.53,-22.0,0.98,20.9,1.0,Industrials,Railroads,2382117632,-4.2,619.5,16.6,7.1,13.4,3.0,6.5,4,2.5,4.3
409,EXP,https://www.tradingview.com/symbols/EXP/,True,True,STRONG UPTREND,8,214.29,245.53,171.79,-12.7,0.82,9.2,1.0,Basic Materials,Building Materials,6573414912,2.6,-12.5,17.3,16.9,14.9,2.8,4.1,4,2.0,4.3
410,WPC,https://www.tradingview.com/symbols/WPC/,True,False,UPTREND,6,71.81,77.22,65.13,-7.0,0.74,13.0,1.0,Real Estate,REIT - Diversified,16358838272,18.4,256.5,35.8,24.6,20.7,2.43,4.9,8,1.9,4.3
411,AVB,https://www.tradingview.com/symbols/AVB/,True,True,STRONG UPTREND,8,187.55,198.63,157.12,-5.6,0.56,30.6,1.0,Real Estate,REIT - Residential,26781759488,2.3,-41.3,33.3,25.8,38.5,2.55,2.8,5,1.4,4.3
412,AEE,https://www.tradingview.com/symbols/AEE/,True,True,STRONG UPTREND,8,108.84,118.32,102.53,-8.0,0.97,5.0,1.0,Utilities,Utilities - Regulated Electric,30131619840,-6.2,11.9,18.6,19.2,18.7,1.76,7.1,4,2.4,4.3
413,MSGS,https://www.tradingview.com/symbols/MSGS/,True,True,STRONG UPTREND,8,389.99,411.73,274.5,-5.3,0.71,64.1,1.3,Communication Services,Entertainment,9389441024,1.9,,-2.1,,-632.0,,4.3,4,1.8,4.3
414,ESTC,https://www.tradingview.com/symbols/ESTC/,True,False,UPTREND,6,75.11,75.44,42.05,-0.4,1.05,39.7,1.0,Technology,Software - Application,7807806976,16.0,,21.1,21.9,19.4,2.0,3.6,7,2.6,4.3
415,FG,https://www.tradingview.com/symbols/FG/,True,True,STRONG UPTREND,8,27.67,33.46,20.16,-17.3,0.57,49.6,1.0,Financial Services,Insurance - Life,3665859840,4.8,,6.8,7.2,5.6,3.0,6.5,5,1.4,4.3
416,PII,https://www.tradingview.com/symbols/PII/,True,True,STRONG UPTREND,8,71.57,77.98,46.69,-8.2,0.94,55.4,1.1,Consumer Cyclical,Recreational Vehicles,4072585216,8.8,,-3.5,,21.2,2.78,4.2,4,2.3,4.3
